Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	LossBeforeUpdate	LossAfterUpdate	TimestepsThisBatch	TimestepsSoFar
1.2313919067382812	0	36.02158273381295	19.052546658796064	103.0	11.0	36.02158273381295	19.052546658796064	77419.56	77069.51	5007	5007
2.4169750213623047	1	37.14074074074074	21.20068585996181	137.0	11.0	37.14074074074074	21.20068585996181	82183.086	81788.04	5014	10021
3.5461039543151855	2	40.37096774193548	23.03730065880377	145.0	11.0	40.37096774193548	23.03730065880377	87876.37	87531.69	5006	15027
4.552639961242676	3	40.45161290322581	21.466160480757615	106.0	9.0	40.45161290322581	21.466160480757615	85013.47	84784.484	5016	20043
5.446687936782837	4	42.69491525423729	21.859531712452885	114.0	13.0	42.69491525423729	21.859531712452885	88094.664	87907.414	5038	25081
6.586751222610474	5	48.28846153846154	23.733161268296776	141.0	12.0	48.28846153846154	23.733161268296776	96531.88	96321.6	5022	30103
8.123101234436035	6	51.704081632653065	26.234503368917512	130.0	15.0	51.704081632653065	26.234503368917512	105023.49	104831.97	5067	35170
9.350598096847534	7	53.223404255319146	25.74595785473623	155.0	14.0	53.223404255319146	25.74595785473623	104180.36	104022.02	5003	40173
10.497430086135864	8	52.46875	24.786989667380617	125.0	10.0	52.46875	24.786989667380617	101520.93	101341.4	5037	45210
11.552606105804443	9	54.858695652173914	25.622502644685934	143.0	18.0	54.858695652173914	25.622502644685934	105275.99	105073.484	5047	50257
12.578599214553833	10	58.53488372093023	26.981775793792355	186.0	16.0	58.53488372093023	26.981775793792355	110567.77	110361.65	5034	55291
13.54157304763794	11	65.05194805194805	29.87588877291063	158.0	23.0	65.05194805194805	29.87588877291063	121594.36	121405.92	5009	60300
14.686532974243164	12	67.30666666666667	27.56905189197159	158.0	17.0	67.30666666666667	27.56905189197159	121367.14	121145.086	5048	65348
15.612029075622559	13	66.77333333333333	34.4416698524073	189.0	15.0	66.77333333333333	34.4416698524073	128598.625	128373.94	5008	70356
16.85603404045105	14	70.20833333333333	30.248019907645748	200.0	26.0	70.20833333333333	30.248019907645748	127113.15	126841.3	5055	75411
