Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	LossBeforeUpdate	LossAfterUpdate	TimestepsThisBatch	TimestepsSoFar	Std
8.400009870529175	0	9.08076225045372	2.6118903320802995	20.0	5.0	9.08076225045372	2.6118903320802995	-415.59326	-16245.904	10007	10007	[0.19900249]
11.854511976242065	1	12.533834586466165	5.188500208996204	56.0	6.0	12.533834586466165	5.188500208996204	10.384451	-9763.419	10002	20009	[0.19835556]
14.999568939208984	2	29.5811209439528	11.29237599779772	83.0	12.0	29.5811209439528	11.29237599779772	-102.42197	-1838.3971	10028	30037	[0.19772013]
18.07860279083252	3	37.18959107806691	12.22212796940209	83.0	18.0	37.18959107806691	12.22212796940209	50.86693	-500.33765	10004	40041	[0.19727246]
21.1421799659729	4	41.50826446280992	12.38675703646732	95.0	25.0	41.50826446280992	12.38675703646732	-55.50071	-1211.8351	10045	50086	[0.1968293]
24.169189929962158	5	54.44565217391305	17.771413372895285	143.0	35.0	54.44565217391305	17.771413372895285	25.65167	-1936.0245	10018	60104	[0.19647911]
27.16438889503479	6	81.99180327868852	22.19750979300338	181.0	51.0	81.99180327868852	22.19750979300338	-23.706472	-2414.46	10003	70107	[0.19614717]
30.165393114089966	7	99.4059405940594	31.40542244213168	259.0	60.0	99.4059405940594	31.40542244213168	68.34508	-1228.1287	10040	80147	[0.19593397]
33.167263984680176	8	97.64077669902913	37.28084293416896	348.0	63.0	97.64077669902913	37.28084293416896	-27.063025	-1549.3904	10057	90204	[0.19571589]
36.267616987228394	9	133.0	25.57290918551361	198.0	85.0	133.0	25.57290918551361	-32.760242	-2241.5771	10108	100312	[0.19548686]
39.229159116744995	10	286.48571428571427	56.90260924400137	431.0	182.0	286.48571428571427	56.90260924400137	-57.99543	-1424.5663	10027	110339	[0.19522226]
42.225093126297	11	194.19230769230768	36.94488538638356	352.0	129.0	194.19230769230768	36.94488538638356	-77.35586	-328.1423	10098	120437	[0.19490778]
45.208919048309326	12	157.671875	35.64102915158841	273.0	105.0	157.671875	35.64102915158841	4.929162	-165.40398	10091	130528	[0.19462986]
48.1870551109314	13	141.45070422535213	32.03026242121148	249.0	89.0	141.45070422535213	32.03026242121148	49.96733	-120.9427	10043	140571	[0.19443238]
51.18518900871277	14	116.183908045977	31.36530359783957	282.0	73.0	116.183908045977	31.36530359783957	-55.674168	-125.047485	10108	150679	[0.19419767]
54.18477988243103	15	111.97777777777777	27.457837487795228	188.0	67.0	111.97777777777777	27.457837487795228	-81.47919	-271.96152	10078	160757	[0.19390525]
57.167880058288574	16	107.87096774193549	25.59159211998188	185.0	66.0	107.87096774193549	25.59159211998188	-98.982635	-198.23474	10032	170789	[0.19354658]
