Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	LossBeforeUpdate	LossAfterUpdate	TimestepsThisBatch	TimestepsSoFar
1.2166070938110352	0	37.074074074074076	23.16307074558301	132.0	11.0	37.074074074074076	23.16307074558301	-50.15598	-69.45191	5005	5005
2.2077839374542236	1	36.627737226277375	21.94119789238609	163.0	9.0	36.627737226277375	21.94119789238609	-49.53093	-71.70538	5018	10023
3.1949691772460938	2	41.2520325203252	23.90210165128866	141.0	13.0	41.2520325203252	23.90210165128866	-38.549324	-51.21386	5074	15097
4.1677210330963135	3	43.6	23.560394179916504	139.0	11.0	43.6	23.560394179916504	-36.563156	-49.15379	5014	20111
5.095829010009766	4	45.18018018018018	22.640232943043735	138.0	12.0	45.18018018018018	22.640232943043735	-55.062508	-70.983246	5015	25126
6.649656057357788	5	47.29245283018868	28.029959370029612	165.0	16.0	47.29245283018868	28.029959370029612	-42.141083	-52.831802	5013	30139
8.123296022415161	6	47.33018867924528	23.35764659980498	140.0	11.0	47.33018867924528	23.35764659980498	-43.909695	-56.087116	5017	35156
9.247105121612549	7	54.75	27.625848403261752	165.0	14.0	54.75	27.625848403261752	-21.022902	-29.812662	5037	40193
10.58865213394165	8	56.144444444444446	30.623361130247936	128.0	16.0	56.144444444444446	30.623361130247936	-31.980633	-42.508915	5053	45246
12.002286195755005	9	60.373493975903614	35.300333062142016	200.0	14.0	60.373493975903614	35.300333062142016	-12.691811	-19.491016	5011	50257
13.19953727722168	10	65.35897435897436	37.625678070037644	200.0	16.0	65.35897435897436	37.625678070037644	-12.915272	-20.96149	5098	55355
14.134632110595703	11	61.951219512195124	33.6944311961894	178.0	15.0	61.951219512195124	33.6944311961894	-62.09499	-75.03076	5080	60435
15.035804271697998	12	65.07792207792208	30.235339361938546	151.0	15.0	65.07792207792208	30.235339361938546	-42.64022	-54.697193	5011	65446
15.975490093231201	13	73.1159420289855	37.1075742226879	200.0	23.0	73.1159420289855	37.1075742226879	-26.995762	-38.86551	5045	70491
16.911207914352417	14	87.50847457627118	42.66438711831634	200.0	24.0	87.50847457627118	42.66438711831634	-39.13985	-53.648525	5163	75654
17.836589097976685	15	93.27777777777777	51.647457599994304	200.0	11.0	93.27777777777777	51.647457599994304	-72.05761	-86.11675	5037	80691
18.75871515274048	16	103.77551020408163	56.00337646749613	200.0	13.0	103.77551020408163	56.00337646749613	-20.102129	-29.762829	5085	85776
19.71079707145691	17	96.88461538461539	46.212574814718096	200.0	15.0	96.88461538461539	46.212574814718096	-45.499733	-60.554123	5038	90814
20.677150011062622	18	117.27272727272727	58.522087375142405	200.0	21.0	117.27272727272727	58.522087375142405	-55.3547	-63.85266	5160	95974
21.62940812110901	19	126.14634146341463	50.14348240876898	200.0	24.0	126.14634146341463	50.14348240876898	-65.21641	-70.60892	5172	101146
22.556276082992554	20	101.72	48.60577743437502	200.0	14.0	101.72	48.60577743437502	-50.417603	-58.515053	5086	106232
23.477189302444458	21	123.51219512195122	49.018225555856816	200.0	27.0	123.51219512195122	49.018225555856816	-60.73049	-66.01771	5064	111296
24.397892236709595	22	133.3684210526316	55.49510222705366	200.0	26.0	133.3684210526316	55.49510222705366	-45.462437	-52.603558	5068	116364
25.32062602043152	23	136.8918918918919	48.16457360420415	200.0	31.0	136.8918918918919	48.16457360420415	-40.132298	-48.502018	5065	121429
26.22623634338379	24	139.94444444444446	57.95493672982505	200.0	15.0	139.94444444444446	57.95493672982505	-46.165997	-54.91731	5038	126467
27.166571140289307	25	147.94285714285715	50.21664087140998	200.0	38.0	147.94285714285715	50.21664087140998	-40.695786	-49.885414	5178	131645
28.09057903289795	26	153.57575757575756	52.21867209471311	200.0	29.0	153.57575757575756	52.21867209471311	-76.47902	-85.19887	5068	136713
29.026814937591553	27	163.32258064516128	48.7563971629161	200.0	30.0	163.32258064516128	48.7563971629161	-60.355103	-63.73619	5063	141776
29.956457138061523	28	171.0	41.82343840479881	200.0	35.0	171.0	41.82343840479881	-40.618607	-42.129955	5130	146906
30.88618493080139	29	168.93333333333334	31.145821906352417	200.0	98.0	168.93333333333334	31.145821906352417	-18.527275	-17.715338	5068	151974
31.811485052108765	30	171.5	42.00694387042853	200.0	39.0	171.5	42.00694387042853	-44.090446	-45.89642	5145	157119
32.73563504219055	31	179.85714285714286	33.53645594798324	200.0	74.0	179.85714285714286	33.53645594798324	7.1975765	6.5097637	5036	162155
33.690514087677	32	181.0	31.02073039574849	200.0	100.0	181.0	31.02073039574849	-40.903645	-46.44931	5068	167223
34.58960795402527	33	185.25925925925927	18.912258600633322	200.0	143.0	185.25925925925927	18.912258600633322	-19.070547	-23.219294	5002	172225
35.50858020782471	34	181.25	35.36506044106245	200.0	38.0	181.25	35.36506044106245	-5.3870616	-5.6982126	5075	177300
36.99198007583618	35	186.88888888888889	23.012610606221543	200.0	114.0	186.88888888888889	23.012610606221543	-18.714403	-19.541544	5046	182346
38.46073126792908	36	188.03703703703704	23.635318019597644	200.0	113.0	188.03703703703704	23.635318019597644	-35.5794	-36.020332	5077	187423
39.34821009635925	37	177.86206896551724	30.517066042745864	200.0	105.0	177.86206896551724	30.517066042745864	-12.21151	-13.394098	5158	192581
40.22932195663452	38	188.62962962962962	20.11291854643225	200.0	129.0	188.62962962962962	20.11291854643225	17.33542	17.208885	5093	197674
41.12917709350586	39	184.42857142857142	32.202959681446956	200.0	46.0	184.42857142857142	32.202959681446956	-11.397493	-11.857817	5164	202838
