Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	LossBeforeUpdate	LossAfterUpdate	TimestepsThisBatch	TimestepsSoFar	Std
8.277949094772339	0	12.899484536082474	4.776197398555367	44.0	6.0	12.899484536082474	4.776197398555367	-223.84912	-10153.274	10010	10010	[0.19900249]
11.56801986694336	1	18.15036231884058	6.5996431512467035	59.0	8.0	18.15036231884058	6.5996431512467035	50.145504	-4780.787	10019	20029	[0.19851445]
14.622626066207886	2	38.86046511627907	13.93464489916544	92.0	20.0	38.86046511627907	13.93464489916544	-13.044862	-995.9071	10026	30055	[0.19810265]
17.66619110107422	3	40.475806451612904	13.288949878217046	112.0	22.0	40.475806451612904	13.288949878217046	27.803091	-414.225	10038	40093	[0.19783756]
20.694159984588623	4	42.42372881355932	10.383662836040065	91.0	25.0	42.42372881355932	10.383662836040065	104.68176	-1116.7698	10012	50105	[0.19785634]
23.76409888267517	5	58.911764705882355	14.418467828894718	127.0	32.0	58.911764705882355	14.418467828894718	-12.9983635	-1728.9478	10015	60120	[0.19784606]
26.75978422164917	6	87.4608695652174	20.221936842909955	174.0	52.0	87.4608695652174	20.221936842909955	33.1435	-559.347	10058	70178	[0.19790205]
29.72961711883545	7	95.3047619047619	19.639670159932155	165.0	62.0	95.3047619047619	19.639670159932155	51.29661	-87.26667	10007	80185	[0.198047]
32.724841833114624	8	92.27522935779817	17.33579399357762	134.0	57.0	92.27522935779817	17.33579399357762	-7.82442	-393.41544	10058	90243	[0.19816118]
35.72652196884155	9	99.29411764705883	22.2113679758521	183.0	64.0	99.29411764705883	22.2113679758521	58.582985	-370.42798	10128	100371	[0.19836599]
38.70782208442688	10	113.82954545454545	25.186225307654457	237.0	70.0	113.82954545454545	25.186225307654457	-11.290061	-533.1374	10017	110388	[0.1985293]
41.679768085479736	11	125.975	23.98904697981977	198.0	82.0	125.975	23.98904697981977	-154.32071	-701.56885	10078	120466	[0.19841751]
44.64064812660217	12	164.8360655737705	42.088969127613574	293.0	103.0	164.8360655737705	42.088969127613574	-40.24258	-783.12286	10055	130521	[0.19825579]
47.61237120628357	13	254.525	70.08708422384255	451.0	158.0	254.525	70.08708422384255	-85.67889	-805.7983	10181	140702	[0.1979878]
50.65542387962341	14	471.04545454545456	143.93195275821623	818.0	216.0	471.04545454545456	143.93195275821623	-204.20123	-623.90826	10363	151065	[0.1975261]
53.61016392707825	15	436.5652173913044	130.62619288806897	845.0	313.0	436.5652173913044	130.62619288806897	90.080734	105.3845	10041	161106	[0.19723064]
56.597898960113525	16	443.60869565217394	123.06546124105084	687.0	268.0	443.60869565217394	123.06546124105084	55.001724	63.19682	10203	171309	[0.19703308]
59.56311011314392	17	288.8	72.87946996827806	653.0	208.0	288.8	72.87946996827806	-11.36364	21.1885	10108	181417	[0.19683984]
62.57899308204651	18	263.53846153846155	42.81435546087985	382.0	196.0	263.53846153846155	42.81435546087985	-76.71144	-384.15872	10278	191695	[0.19657362]
65.61651086807251	19	354.58620689655174	50.89103792206227	472.0	271.0	354.58620689655174	50.89103792206227	-64.282906	-644.0824	10283	201978	[0.1962564]
68.63927793502808	20	646.6875	147.92638319025446	1000.0	461.0	646.6875	147.92638319025446	-219.56314	-462.72794	10347	212325	[0.19576475]
71.75372886657715	21	709.0666666666667	170.46699256910574	1000.0	383.0	709.0666666666667	170.46699256910574	-42.892536	-51.833378	10636	222961	[0.19527353]
74.68138599395752	22	667.6	118.85105524703317	875.0	484.0	667.6	118.85105524703317	-24.4203	-138.23904	10014	232975	[0.19480121]
77.63250184059143	23	560.1111111111111	204.92597278282625	1000.0	276.0	560.1111111111111	204.92597278282625	-175.8458	-304.65726	10082	243057	[0.19421777]
80.59500789642334	24	440.2608695652174	122.99247675518325	666.0	270.0	440.2608695652174	122.99247675518325	-50.812305	-51.965282	10126	253183	[0.19363779]
83.63653302192688	25	461.95454545454544	132.47897852892027	857.0	311.0	461.95454545454544	132.47897852892027	113.79362	97.84462	10163	263346	[0.19324046]
87.49011182785034	26	551.0526315789474	227.04195616999039	1000.0	255.0	551.0526315789474	227.04195616999039	-73.06236	-137.22794	10470	273816	[0.19280808]
91.64034509658813	27	713.7333333333333	193.3026872262486	1000.0	411.0	713.7333333333333	193.3026872262486	104.65174	-180.22176	10706	284522	[0.19252881]
94.71515989303589	28	525.3	50.02709265987781	605.0	386.0	525.3	50.02709265987781	-11.124016	-392.3494	10506	295028	[0.19226338]
97.68337607383728	29	347.37931034482756	25.222340662394775	406.0	312.0	347.37931034482756	25.222340662394775	-37.39779	-1362.5917	10074	305102	[0.19198383]
100.63570284843445	30	235.65116279069767	14.66190082687849	261.0	207.0	235.65116279069767	14.66190082687849	157.23201	-381.54742	10133	315235	[0.19189748]
103.60080885887146	31	197.8235294117647	14.684533523341983	242.0	171.0	197.8235294117647	14.684533523341983	29.665655	-220.8497	10089	325324	[0.19184898]
106.56520700454712	32	189.77358490566039	15.748784330962453	262.0	160.0	189.77358490566039	15.748784330962453	64.33738	37.36797	10058	335382	[0.19187057]
109.55897212028503	33	208.44897959183675	16.381997616210995	258.0	185.0	208.44897959183675	16.381997616210995	-186.87651	-334.80066	10214	345596	[0.19170693]
112.53834319114685	34	264.7894736842105	34.23921873704177	352.0	209.0	264.7894736842105	34.23921873704177	52.846466	81.93844	10062	355658	[0.19161049]
115.52091193199158	35	374.2962962962963	112.07531026710461	746.0	254.0	374.2962962962963	112.07531026710461	-62.357822	-88.35512	10106	365764	[0.19146161]
