Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	LossBeforeUpdate	LossAfterUpdate	TimestepsThisBatch	TimestepsSoFar
1.5038740634918213	0	17.82918149466192	8.609727328326217	68.0	8.0	17.82918149466192	8.609727328326217	11.876227	11.893967	5010	5010
3.1607539653778076	1	18.419117647058822	8.727538520867038	71.0	9.0	18.419117647058822	8.727538520867038	12.451469	12.45148	5010	10020
4.443430185317993	2	19.25769230769231	9.068910250746486	55.0	8.0	19.25769230769231	9.068910250746486	13.084538	13.0896015	5007	15027
5.972973108291626	3	19.52140077821012	10.02218012888787	92.0	9.0	19.52140077821012	10.02218012888787	13.482851	13.474956	5017	20044
6.95731782913208	4	20.38617886178862	9.417228850359377	53.0	9.0	20.38617886178862	9.417228850359377	14.00965	14.015639	5015	25059
8.821372985839844	5	21.23728813559322	11.501789076827368	102.0	8.0	21.23728813559322	11.501789076827368	14.650272	14.660312	5012	30071
10.41853404045105	6	22.342222222222222	11.47299222597505	72.0	8.0	22.342222222222222	11.47299222597505	15.428145	15.421151	5027	35098
11.582414150238037	7	23.073394495412845	12.029555668366074	76.0	9.0	23.073394495412845	12.029555668366074	15.939456	15.9452305	5030	40128
12.503679990768433	8	24.44390243902439	13.66830138750789	122.0	9.0	24.44390243902439	13.66830138750789	16.848518	16.855448	5011	45139
13.379904985427856	9	23.369158878504674	14.624879015171457	144.0	8.0	23.369158878504674	14.624879015171457	16.089909	16.089771	5001	50140
14.26948595046997	10	25.02	14.28739304421909	106.0	9.0	25.02	14.28739304421909	17.24871	17.250206	5004	55144
15.160783052444458	11	25.292929292929294	14.638576768357002	120.0	9.0	25.292929292929294	14.638576768357002	17.425371	17.423157	5008	60152
16.402012825012207	12	24.388349514563107	12.686842821247666	70.0	9.0	24.388349514563107	12.686842821247666	16.77736	16.77602	5024	65176
17.55526304244995	13	25.292929292929294	14.68611143894192	93.0	8.0	25.292929292929294	14.68611143894192	17.404364	17.40327	5008	70184
19.052295923233032	14	26.903225806451612	15.580567243065257	110.0	9.0	26.903225806451612	15.580567243065257	18.44254	18.441727	5004	75188
19.924768924713135	15	26.098958333333332	14.925704860461273	101.0	9.0	26.098958333333332	14.925704860461273	17.89259	17.890142	5011	80199
20.789011001586914	16	26.329842931937172	14.681651456975997	101.0	8.0	26.329842931937172	14.681651456975997	18.00673	18.003105	5029	85228
21.65908718109131	17	28.027932960893853	17.502571293172917	122.0	9.0	28.027932960893853	17.502571293172917	19.187471	19.184475	5017	90245
22.531239986419678	18	26.486772486772487	15.45281552250516	112.0	10.0	26.486772486772487	15.45281552250516	18.063839	18.060583	5006	95251
23.401800870895386	19	27.508196721311474	15.777783665772697	84.0	9.0	27.508196721311474	15.777783665772697	18.739801	18.738	5034	100285
24.445650815963745	20	27.674033149171272	15.591782783361948	87.0	10.0	27.674033149171272	15.591782783361948	18.851042	18.852055	5009	105294
25.333652019500732	21	28.055248618784532	18.116786195825696	109.0	10.0	28.055248618784532	18.116786195825696	19.00052	18.998257	5078	110372
26.204180002212524	22	28.282485875706215	18.272246823801215	117.0	9.0	28.282485875706215	18.272246823801215	19.179213	19.179773	5006	115378
27.081935167312622	23	27.415300546448087	14.806666117721898	78.0	10.0	27.415300546448087	14.806666117721898	18.55123	18.548365	5017	120395
27.966452836990356	24	28.089385474860336	14.480688321320585	89.0	10.0	28.089385474860336	14.480688321320585	19.004301	19.006989	5028	125423
28.845484972000122	25	26.230366492146597	15.333272153856056	90.0	10.0	26.230366492146597	15.333272153856056	17.70177	17.700687	5010	130433
29.702428817749023	26	26.389473684210525	14.312522847119144	86.0	10.0	26.389473684210525	14.312522847119144	17.771927	17.7704	5014	135447
30.572026014328003	27	28.01675977653631	16.85212545994456	105.0	8.0	28.01675977653631	16.85212545994456	18.92447	18.921669	5015	140462
31.452883005142212	28	29.779761904761905	18.28622484251273	124.0	9.0	29.779761904761905	18.28622484251273	20.00486	20.000494	5003	145465
32.321534872055054	29	27.48633879781421	15.849310175641271	98.0	9.0	27.48633879781421	15.849310175641271	18.61304	18.60944	5030	150495
33.19665789604187	30	27.233695652173914	14.224319172015665	81.0	10.0	27.233695652173914	14.224319172015665	18.40137	18.397774	5011	155506
34.07384705543518	31	25.968911917098445	13.938765690387225	85.0	9.0	25.968911917098445	13.938765690387225	17.511698	17.513353	5012	160518
34.94196081161499	32	27.783333333333335	15.11300948042962	95.0	10.0	27.783333333333335	15.11300948042962	18.828531	18.820599	5001	165519
35.83519697189331	33	27.0972972972973	16.223148067990337	100.0	9.0	27.0972972972973	16.223148067990337	18.366947	18.366653	5013	170532
36.70085597038269	34	26.58730158730159	15.380501901768842	99.0	8.0	26.58730158730159	15.380501901768842	18.001783	18.007565	5025	175557
37.56667900085449	35	26.05699481865285	14.724477005762798	89.0	9.0	26.05699481865285	14.724477005762798	17.560232	17.559813	5029	180586
38.435818910598755	36	27.40983606557377	15.670839281871988	95.0	9.0	27.40983606557377	15.670839281871988	18.660637	18.661942	5016	185602
39.408695936203	37	25.835051546391753	15.003216433413817	93.0	9.0	25.835051546391753	15.003216433413817	17.45973	17.454533	5012	190614
40.289098024368286	38	26.329842931937172	14.48599610732389	76.0	9.0	26.329842931937172	14.48599610732389	17.821337	17.822014	5029	195643
41.158185958862305	39	24.21153846153846	12.57261452899414	77.0	9.0	24.21153846153846	12.57261452899414	16.490637	16.488169	5036	200679
42.03310990333557	40	26.10880829015544	14.900136492386396	92.0	9.0	26.10880829015544	14.900136492386396	17.595434	17.591583	5039	205718
